1471,3630,3216,3093,2836,2700,2423,2293,2035,1792,1479,1133,1010,794,488,209,0,393,681,1063,1266,1743,2071,2394,2962,3313,3965,4538,5137,5758,5904,6584,6954,7233,7664,7852,8075,8330,8534,8693,9188,9894,10392,10699,11005,11767,11979,12474,12629,13134,13438,13633,13865,14111,14426,14562,14939,15193,15563,15750,17185,17610,18335,18887,19287,19858,20183,20523,21010,21168,21524,21956,22186,22414,22764,22992,23162,23368,23715,23957,24280,24492,24668
1472,4023,3609,3486,3229,3093,2816,2686,2428,2185,1872,1526,1403,1187,881,602,393,0,288,670,873,1350,1678,2001,2569,2920,3572,4145,4744,5365,5511,6191,6561,6840,7271,7459,7682,7937,8141,8300,8795,9501,9999,10306,10612,11374,11586,12081,12236,12741,13045,13240,13472,13718,14033,14169,14546,14800,15170,15357,16792,17217,17942,18494,18894,19465,19790,20130,20617,20775,21131,21563,21793,22021,22371,22599,22769,22975,23322,23564,23887,24099,24275
1473,4311,3897,3774,3517,3381,3104,2974,2716,2473,2160,1814,1691,1475,1169,890,681,288,0,382,585,1062,1390,1713,2281,2632,3284,3857,4456,5077,5223,5903,6273,6552,6983,7171,7394,7649,7853,8012,8507,9213,9711,10018,10324,11086,11298,11793,11948,12453,12757,12952,13184,13430,13745,13881,14258,14512,14882,15069,16504,16929,17654,18206,18606,19177,19502,19842,20329,20487,20843,21275,21505,21733,22083,22311,22481,22687,23034,23276,23599,23811,23987
1474,4693,4279,4156,3899,3763,3486,3356,3098,2855,2542,2196,2073,1857,1551,1272,1063,670,382,0,203,680,1008,1331,1899,2250,2902,3475,4074,4695,4841,5521,5891,6170,6601,6789,7012,7267,7471,7630,8125,8831,9329,9636,9942,10704,10916,11411,11566,12071,12375,12570,12802,13048,13363,13499,13876,14130,14500,14687,16122,16547,17272,17824,18224,18795,19120,19460,19947,20105,20461,20893,21123,21351,21701,21929,22099,22305,22652,22894,23217,23429,23605
1475,4896,4482,4359,4102,3966,3689,3559,3301,3058,2745,2399,2276,2060,1754,1475,1266,873,585,203,0,477,805,1128,1696,2047,2699,3272,3871,4492,4638,5318,5688,5967,6398,6586,6809,7064,7268,7427,7922,8628,9126,9433,9739,10501,10713,11208,11363,11868,12172,12367,12599,12845,13160,13296,13673,13927,14297,14484,15919,16344,17069,17621,18021,18592,18917,19257,19744,19902,20258,20690,20920,21148,21498,21726,21896,22102,22449,22691,23014,23226,23402
1476,5373,4959,4836,4579,4443,4166,4036,3778,3535,3222,2876,2753,2537,2231,1952,1743,1350,1062,680,477,0,328,651,1219,1570,2222,2795,3394,4015,4161,4841,5211,5490,5921,6109,6332,6587,6791,6950,7445,8151,8649,8956,9262,10024,10236,10731,10886,11391,11695,11890,12122,12368,12683,12819,13196,13450,13820,14007,15442,15867,16592,17144,17544,18115,18440,18780,19267,19425,19781,20213,20443,20671,21021,21249,21419,21625,21972,22214,22537,22749,22925
1853,5701,5287,5164,4907,4771,4494,4364,4106,3863,3550,3204,3081,2865,2559,2280,2071,1678,1390,1008,805,328,0,323,891,1242,1894,2467,3066,3687,3833,4513,4883,5162,5593,5781,6004,6259,6463,6622,7117,7823,8321,8628,8934,9696,9908,10403,10558,11063,11367,11562,11794,12040,12355,12491,12868,13122,13492,13679,15114,15539,16264,16816,17216,17787,18112,18452,18939,19097,19453,19885,20115,20343,20693,20921,21091,21297,21644,21886,22209,22421,22597
1478,6024,5610,5487,5230,5094,4817,4687,4429,4186,3873,3527,3404,3188,2882,2603,2394,2001,1713,1331,1128,651,323,0,568,919,1571,2144,2743,3364,3510,4190,4560,4839,5270,5458,5681,5936,6140,6299,6794,7500,7998,8305,8611,9373,9585,10080,10235,10740,11044,11239,11471,11717,12032,12168,12545,12799,13169,13356,14791,15216,15941,16493,16893,17464,17789,18129,18616,18774,19130,19562,19792,20020,20370,20598,20768,20974,21321,21563,21886,22098,22274
1480,6592,6178,6055,5798,5662,5385,5255,4997,4754,4441,4095,3972,3756,3450,3171,2962,2569,2281,1899,1696,1219,891,568,0,351,1003,1576,2175,2796,2942,3622,3992,4271,4702,4890,5113,5368,5572,5731,6226,6932,7430,7737,8043,8805,9017,9512,9667,10172,10476,10671,10903,11149,11464,11600,11977,12231,12601,12788,14223,14648,15373,15925,16325,16896,17221,17561,18048,18206,18562,18994,19224,19452,19802,20030,20200,20406,20753,20995,21318,21530,21706
1481,6943,6529,6406,6149,6013,5736,5606,5348,5105,4792,4446,4323,4107,3801,3522,3313,2920,2632,2250,2047,1570,1242,919,351,0,652,1225,1824,2445,2591,3271,3641,3920,4351,4539,4762,5017,5221,5380,5875,6581,7079,7386,7692,8454,8666,9161,9316,9821,10125,10320,10552,10798,11113,11249,11626,11880,12250,12437,13872,14297,15022,15574,15974,16545,16870,17210,17697,17855,18211,18643,18873,19101,19451,19679,19849,20055,20402,20644,20967,21179,21355
